Start Time: 2020/04/19, 20:29:51.335
End Time: 2020/04/19, 20:32:02.882
Min (dB468): 41.5
Max (dB468): 67.8
Peak (dB468): 68.2
Leq (dB468): 61.1
TWA (dB468): -3.8
Dose (%): 0.1
Recorded value (dB468),Response time (seconds): 
42.1,0.2
41.9,0.2
42.1,0.2
42.2,0.2
42.8,0.2
41.9,0.2
41.8,0.2
42.3,0.2
42.0,0.2
41.9,0.2
42.0,0.2
42.0,0.2
41.7,0.2
42.1,0.2
42.3,0.2
42.1,0.2
42.3,0.2
41.9,0.2
42.1,0.2
42.1,0.2
42.0,0.2
42.0,0.2
41.9,0.2
42.4,0.2
42.1,0.2
42.3,0.2
42.2,0.2
42.2,0.2
41.9,0.2
41.9,0.2
41.9,0.2
42.2,0.2
42.1,0.2
42.2,0.2
42.3,0.2
42.4,0.2
41.9,0.2
41.9,0.2
41.8,0.2
42.1,0.2
59.9,0.2
59.9,0.2
58.5,0.2
57.5,0.2
57.9,0.2
58.5,0.2
58.7,0.2
58.5,0.2
58.6,0.2
58.9,0.2
58.9,0.2
59.0,0.2
59.1,0.2
59.0,0.2
59.0,0.2
58.9,0.2
52.7,0.2
42.2,0.2
41.9,0.2
41.7,0.2
41.5,0.2
41.8,0.2
42.0,0.2
41.7,0.2
41.8,0.2
41.9,0.2
42.0,0.2
60.3,0.2
63.7,0.2
62.9,0.2
62.7,0.2
62.4,0.2
62.8,0.2
62.9,0.2
63.1,0.2
63.3,0.2
63.4,0.2
63.4,0.2
63.6,0.2
63.9,0.2
63.3,0.2
63.3,0.2
61.2,0.2
42.0,0.2
42.1,0.2
41.7,0.2
42.0,0.2
42.2,0.2
42.3,0.2
42.2,0.2
42.3,0.2
42.1,0.2
42.2,0.2
42.0,0.2
42.0,0.2
63.1,0.2
65.0,0.2
65.3,0.2
66.0,0.2
65.8,0.2
65.7,0.2
66.0,0.2
65.8,0.2
66.2,0.2
64.6,0.2
66.2,0.2
66.0,0.2
64.9,0.2
65.7,0.2
66.6,0.2
59.6,0.2
42.0,0.2
42.0,0.2
42.3,0.2
42.3,0.2
42.2,0.2
42.0,0.2
42.0,0.2
42.0,0.2
42.0,0.2
42.0,0.2
42.0,0.2
42.1,0.2
62.3,0.2
65.8,0.2
66.7,0.2
66.1,0.2
65.8,0.2
66.1,0.2
66.2,0.2
66.9,0.2
66.6,0.2
66.7,0.2
67.3,0.2
66.5,0.2
66.7,0.2
66.3,0.2
65.9,0.2
66.2,0.2
56.6,0.2
42.1,0.2
42.1,0.2
42.1,0.2
42.2,0.2
42.1,0.2
41.9,0.2
42.0,0.2
42.2,0.2
42.2,0.2
42.1,0.2
42.6,0.2
42.1,0.2
42.1,0.2
42.2,0.2
63.9,0.2
66.8,0.2
67.4,0.2
66.8,0.2
67.1,0.2
67.6,0.2
67.7,0.2
67.6,0.2
67.8,0.2
67.6,0.2
66.9,0.2
66.8,0.2
66.5,0.2
67.2,0.2
66.8,0.2
47.8,0.2
46.2,0.2
41.8,0.2
41.9,0.2
41.9,0.2
41.8,0.2
42.1,0.2
42.1,0.2
42.2,0.2
41.8,0.2
63.4,0.2
64.2,0.2
64.2,0.2
64.7,0.2
64.4,0.2
64.2,0.2
63.0,0.2
64.0,0.2
64.5,0.2
63.9,0.2
64.0,0.2
64.0,0.2
64.1,0.2
64.4,0.2
62.9,0.2
63.6,0.2
60.6,0.2
41.9,0.2
42.1,0.2
42.0,0.2
42.0,0.2
42.0,0.2
42.5,0.2
42.0,0.2
41.7,0.2
62.1,0.2
61.7,0.2
62.0,0.2
61.7,0.2
61.5,0.2
62.1,0.2
62.4,0.2
62.2,0.2
61.8,0.2
62.0,0.2
61.9,0.2
60.2,0.2
60.2,0.2
60.8,0.2
44.4,0.2
42.2,0.2
42.0,0.2
42.0,0.2
42.0,0.2
42.0,0.2
42.0,0.2
41.9,0.2
41.8,0.2
42.0,0.2
42.2,0.2
42.0,0.2
42.2,0.2
42.1,0.2
59.7,0.2
61.1,0.2
60.7,0.2
60.8,0.2
61.0,0.2
60.7,0.2
61.1,0.2
60.8,0.2
61.8,0.2
61.6,0.2
61.1,0.2
61.1,0.2
61.1,0.2
61.2,0.2
61.3,0.2
61.5,0.2
58.6,0.2
42.5,0.2
42.3,0.2
42.1,0.2
42.6,0.2
44.6,0.2
53.6,0.2
54.8,0.2
