[hh:mm:ss],dB
21:59:27,35.0
21:59:28,35.0
21:59:29,43.0
21:59:30,43.0
21:59:31,46.0
21:59:32,74.0
21:59:33,74.0
21:59:34,73.0
21:59:35,73.0
21:59:36,73.0
21:59:37,38.0
21:59:38,38.0
21:59:39,74.0
21:59:40,74.0
21:59:41,74.0
21:59:42,74.0
21:59:43,74.0
21:59:44,68.0
21:59:45,35.0
21:59:46,34.0
21:59:47,74.0
21:59:48,75.0
21:59:49,75.0
21:59:50,76.0
21:59:51,75.0
21:59:52,72.0
21:59:53,34.0
21:59:54,34.0
21:59:55,76.0
21:59:56,80.0
21:59:57,79.0
21:59:58,79.0
21:59:59,80.0
22:00:00,79.0
22:00:01,68.0
22:00:02,35.0
22:00:03,33.0
22:00:04,77.0
22:00:05,80.0
22:00:06,80.0
22:00:07,80.0
22:00:08,80.0
22:00:09,68.0
22:00:10,34.0
22:00:11,34.0
22:00:12,34.0
22:00:13,35.0
22:00:14,34.0
22:00:15,33.0
22:00:16,35.0
22:00:17,73.0
22:00:18,80.0
22:00:19,78.0
22:00:20,77.0
22:00:21,77.0
22:00:22,57.0
22:00:23,34.0
22:00:24,77.0
22:00:25,83.0
22:00:26,83.0
22:00:27,82.0
22:00:28,82.0
22:00:29,76.0
22:00:30,34.0
22:00:31,34.0
22:00:32,79.0
22:00:33,82.0
22:00:34,81.0
22:00:35,81.0
22:00:36,80.0
22:00:37,39.0
22:00:38,34.0
22:00:39,69.0
22:00:40,81.0
22:00:41,80.0
22:00:42,81.0
22:00:43,80.0
22:00:44,79.0
22:00:45,40.0
22:00:46,35.0
22:00:47,34.0
22:00:48,35.0
22:00:49,34.0
22:00:50,34.0
22:00:51,85.0
22:00:52,85.0
22:00:53,84.0
22:00:54,84.0
22:00:55,81.0
22:00:56,35.0
22:00:57,34.0
22:00:58,38.0
22:00:59,83.0
22:01:00,83.0
22:01:01,82.0
22:01:02,81.0
22:01:03,81.0
22:01:04,65.0
22:01:05,34.0
22:01:06,34.0
22:01:07,85.0
22:01:08,85.0
22:01:09,83.0
22:01:10,81.0
22:01:11,74.0
22:01:12,37.0
22:01:13,55.0
22:01:14,84.0
22:01:15,83.0
22:01:16,83.0
22:01:17,84.0
22:01:18,46.0
22:01:19,37.0
22:01:20,84.0
22:01:21,84.0
22:01:22,84.0
22:01:23,85.0
22:01:24,83.0
